tag,actual_dist
equipmentNotAvailable,8
estimatedTime,6
evaluate,5
example,3
excludedModification,6
exportControl,5
exportRegistrationCode,6
exportRegistrationStmt,6
expression,2
externalApplication,0
externalAssert,6
externalCond,4
externalProductAttribute,4
externalPubCode,3
externalPubIssue,4
externalPubIssueDate,3
externalPubIssueInfo,3
externalPubRef,1
externalPubRefAddressItems,2
externalPubRefIdent,2
externalPubTitle,3
externalSco,3
extraResources,4
falseValue,1
fastener,8
fastenerQuantity,9
fastenerType,9
fault,8
faultCond,7
faultContext,6
faultDescr,5
faultEquip,7
faultIsolation,2
faultIsolationProcedure,3
faultIsolationRef,7
faultIsolationTest,9
faultMessageBody,7
faultMessageIndication,7
faultReporting,2
faultySubSystem,7
faxNumber,9
feedThru,8
fieldName,5
figureAltsIdent,5
figureIdent,5
finishingInfo,9
firstName,8
firstVerification,4
fitmentCode,7
footnoteRef,11
footnoteRemarks,10
frequency,8
frequencyAttenuation,7
frequencyCharacteristics,6
fromEquip,7
frontMatter,2
frontMatterDmEntry,5
frontMatterExternalPubEntry,5
frontMatterInfo,4
frontMatterList,3
frontMatterPmEntry,5
frontMatterSubList,4
frontMatterTableOfContent,3
frontMatterTitlePage,3
fullNatoStockNumber,8
functionalDescrRef,7
functionalItem,7
functionalItemAlts,6
functionalItemCode,3
functionalItemFamily,8
functionalItemIdent,6
functionalItemRef,9
functionalItemRefGroup,8
functionalItemRepository,3
functionalItemSpec,5
functionalPhysicalAreaIdent,6
functionalPhysicalAreaRef,8
functionalPhysicalAreaRefGroup,6
functionalPhysicalAreaRepository,3
functionalPhysicalAreaSpec,5
genericPartData,6
genericPartDataGroup,5
genericPartDataValue,7
genericProperty,9
genericPropertyGroup,8
globalPropertyRef,2
grobject,1
groundingType,8
groupCode,9
groupNumber,5
harness,5
harnessAlts,4
harnessEnvironment,7
harnessGroup,3
harnessIdent,7
harnessInfo,6
harnessName,7
harnessSize,6
harnessVariantIdent,7
harnessVariantIssue,7
hazard,8
hazardIdent,6
hazardRef,8
hazardRepository,3
hazardSpec,5
hazardousClass,9
hazards,7
hoursToClose,8
hoursToOpen,8
icnContents,3
icnInfoItem,4
icnInfoItemGroup,3
icnKeyword,5
icnKeywordGroup,4
icnMetadataFile,0
icnObject,6
icnObjectGroup,4
icnResourceFiles,4
icnSourceFiles,4
icnSupportingFiles,3
icnSupportingFilesDescr,5
icnTitle,4
icnVariation,2
identAndStatusSection,1
identExtension,3
identNumber,9
identSleeve,5
identSleeveGroup,4
illustratedPartsCatalog,2
illustrationRef,7
ilsNumber,5
imfAddress,2
imfAddressItems,3
imfCode,4
imfContent,1
imfIdent,3
imfIdentAndStatusSection,1
imfStatus,2
impedance,7
incorporation,3
incorporationStatus,6
indexFlag,4
indicationGroup,0
infoEntityRef,3
infoName,4
